village_id,village_name,district,state,ndbi_mean_2020,ndbi_mean_2025,ndbi_median_2020,ndbi_median_2025,builtup_frac_2020,builtup_frac_2025,builtup_growth_abs,builtup_growth_pct
,,,,-0.04268101761868779,-0.05077347276699719,-0.027319220659920436,-0.027322857593765418,0.05725304525545329,0.06741754902124945,0.010164503765796163,0.38528548239865207
,,,,-0.0951672706084445,-0.0601845883369049,-0.09179684809214331,-0.04293208369587507,0.030435228910338515,0.05642811049553503,0.025992881585196515,0.3441570339767439
,,,,-0.05261779893829334,-0.047903006615349464,-0.05077913641261338,-0.03514682691013175,0.053201929645574846,0.03961943668051497,-0.013582492965059867,0.14175524256618122
,,,,-0.0319323051156371,-0.024474270198859477,-0.027350974452087184,-0.011702850827977545,0.09491538968849955,0.09511908660128626,2.0369691278671273E-4,0.4164813521726073
,,,,-0.04650029333158758,-0.03405494859979099,-0.042960824552467705,-0.027336766898408107,0.07478595212519538,0.07725786289923561,0.0024719107740402233,0.3731244173776152
,,,,-0.10459333073209798,-0.10398730164947008,-0.11328281065084497,-0.11328806548683723,0.0527645732195466,0.06219660206670629,0.009432028847159695,0.22715380036910798
,,,,-0.06496339956379134,-0.06013135923284172,-0.058585643088124376,-0.05858761717731973,0.06302606862856729,0.07830356786958653,0.015277499241019277,0.37984879926983145
,,,,-0.051354884721817734,-0.04491015505100904,-0.04492132280533514,-0.04100626945536119,0.056769104841422675,0.06417695078659792,0.007407845945175246,0.35260172459647904
,,,,-0.01572666557976178,-0.016346605783404532,-0.013677909538672267,-0.009752317994508791,0.10447260293120965,0.09926429573344711,-0.005208307197762532,0.4535589399881842
,,,,-0.02783216257738483,-0.029870046196243012,-0.027349762350559755,-0.027352914200932422,0.07470834260281978,0.07263696349571193,-0.002071379107107851,0.3387424289951034
,,,,-0.04687213003748002,-0.060396523315660006,-0.04295694486958137,-0.05861625609992396,0.05398495564532518,0.04254341142664128,-0.011441544218683918,0.19292040857741352
,,,,-0.025288250167502805,-0.039472082907714846,-0.017582127932276523,-0.03319613054495687,0.06828604063209985,0.05816059957837056,-0.010125441053729301,0.23617336155016017
,,,,-0.08456912666833748,-0.054206268445574496,-0.08202476799458888,-0.05078333265822226,0.033771668342815864,0.05732589196356696,0.02355422362075109,0.3385684695800672
